"id","bookId","day","flowType","type","payType","money","name","description"
"5717c2a3-c17f-421b-a9b0-e250ad38a493","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-30","支出","亲友代付","支付宝","0.86","爱金木(倪潇)","亲情卡-"
"411d35b8-e6fb-4a05-9fff-1217bbbbd3cd","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-30","不计收支","投资理财","支付宝","0.69","易方达增金宝A","余额宝-2024.06.29-收益发放-"
"04d0fa28-0819-4d64-8c99-60889328156e","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-30","支出","转账红包","微信","1800","转账备注:微信转账","翰林科技 后端 徐鹏安-零钱通-/"
"8710bdc7-2d6e-4403-a18e-c51085d43239","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-30","支出","微信交易","微信","14","收款方备注:二维码收款","魏影-零钱通-/"
"0d0b908b-36fc-4eb9-8561-2cba7d7c1077","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-30","收入","投资理财","京东金融","0.19","京东小金库收益","京东小金库-小金库零用钱-"
"9c18b498-7854-4f90-83d0-3d6e3f5adb36","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-29","支出","数码电器","支付宝","23.78","派仕**店","牧马人机械游戏电竞专用办公家用有线宏鼠标台式机笔记本电脑静音 等多件-"
"e260e2b4-b4cf-4a40-8a54-7659671f9760","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-29","不计收支","投资理财","支付宝","0.06","易方达基金管理有限公司","余额宝-自动转入-"
"0500c1aa-0baf-4474-b7ee-07327a3eb043","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-29","收入","转账红包","支付宝","0.06","淘宝（中国）软件有限公司","淘宝签到提现-"
"b3c88ddc-bbe5-46af-84ab-8b7d927f605f","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-29","不计收支","投资理财","支付宝","0.7","易方达增金宝A","余额宝-2024.06.28-收益发放-"
"f8389288-f1cc-42a9-838d-b855e7e17020","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-29","收入","投资理财","京东金融","0.22","京东小金库收益","京东小金库-小金库零用钱-"
"928cddb0-8edc-4d41-b21d-47f7d79895f7","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-28","不计收支","投资理财","支付宝","100","蚂蚁财富-蚂蚁（杭州）基金销售有限公司","蚂蚁财富-广发道琼斯美国石油开发与生产指数(QDII-LOF)A-买入-"
"cd7f6b06-f5d7-4037-b902-e101b65dd401","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-28","不计收支","投资理财","支付宝","0.69","易方达增金宝A","余额宝-2024.06.27-收益发放-"
"c64bb37d-2c54-4174-bd87-0c619be2c2ab","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-28","支出","亲友代付","微信","18","亲属卡","A 潇潇-零钱通-/"
"7ca30d9a-a822-4ab5-ae87-9de9d81c17b2","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-28","支出","微信交易","微信","465","赵家新苑物业服务中心","赵家新苑物业服务中心-零钱通-/"
"b58286fa-33ca-4183-a326-d24eaa6747f8","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-28","收入","投资理财","京东金融","0.21","京东小金库收益","京东小金库-小金库零用钱-"
"22c02b37-aef1-4eb8-a20f-30318105e451","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-28","支出","文化休闲","信用卡","3.24","steam","小游戏"
"0a3c339f-4688-454b-94bb-879d07072d04","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-27","不计收支","投资理财","支付宝","0.27","易方达增金宝A","余额宝-2024.06.26-收益发放-"
"08aaf7f6-5297-4f69-81ea-3e00e3439169","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-27","支出","亲友代付","微信","31.7","亲属卡","A 潇潇-零钱通-/"
"35d33763-2b67-4f5c-a2ab-61a7ad64563e","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-27","收入","投资理财","京东金融","0.2","京东小金库收益","京东小金库-小金库零用钱-"
"096bffd2-9894-4e86-a6b1-702bda19b414","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-26","支出","转账红包","支付宝","400","爱金木(倪潇)","转账-"
"e598be0a-1225-4cb1-8d1b-46607398bbb4","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-26","不计收支","投资理财","支付宝","10076.54","蚂蚁财富-蚂蚁（杭州）基金销售有限公司","蚂蚁财富-兴证全球恒惠30天持有期超短债债券A-卖出至余额宝-"
"b2b51aaf-bd7a-42a9-a36b-40ab556ce6c0","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-26","不计收支","投资理财","支付宝","199.7","蚂蚁财富-蚂蚁（杭州）基金销售有限公司","蚂蚁财富-摩根日本精选股票(QDII)A-买入-"
"e0a693a2-2eda-4c3a-92b8-4b8a3e8934b4","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-26","不计收支","投资理财","支付宝","0.24","易方达增金宝A","余额宝-2024.06.25-收益发放-"
"0f5cdb1c-9205-4c1a-a8ba-679d0776cee9","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-26","收入","投资理财","京东金融","0.2","京东小金库收益","京东小金库-小金库零用钱-"
"9026cba1-4e7d-4a5c-adde-96e99976893c","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-25","支出","亲友代付","支付宝","42.45","爱金木(倪潇)","亲情卡-"
"c3436155-f2fd-4893-8f23-8dfd3de7c4b3","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-25","不计收支","投资理财","支付宝","0.26","易方达增金宝A","余额宝-2024.06.24-收益发放-"
"2ce5df78-e066-4072-8981-015f607824f9","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-25","支出","亲友代付","微信","11","亲属卡","A 潇潇-零钱通-/"
"a9868035-7163-4caa-a06c-e3232d0b5413","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-25","收入","投资理财","京东金融","0.22","京东小金库收益","京东小金库-小金库零用钱-"
"fef8ff82-f23f-4924-a3fb-34622cabe73e","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-25","支出","文化休闲","信用卡","8.59","Steam","链在一起"
"4d0760e6-c5ae-4389-85b9-898fbad773de","e4c334a6-206b-4bdb-8ed5-9e7afd265889","2024-06-24","不计收支","投资理财","支付宝","0.02","易方达基金管理有限公司","余额宝-自动转入-"
